id;nom;description;recu;quantite
1;back-end PCI;calculating;true;97545
2;incubate Account;multi-byte systems Shilling;false;42295
3;connecting;Saint-Denis leading;false;92016
4;a;customized;false;85176
5;a Rubber;calculate Frozen;true;64776
6;Saint-Denis Tugrik input;Midi-Pyrénées Managed;true;8617
7;generating Berkshire;e-services Chicken;false;34688
8;EXE;yellow magenta Alsace;true;56085
9;Fiji Metal disintermediate;Awesome compress Soft;false;86826
10;web convergence synthesizing;ivory monetize;false;65206
