id;nom;ice;tel;adresse;description
1;Pound c override;withdrawal plum Directeur;SQL Computers;Small matrix seamless;synthesize Home hybrid
2;hack mindshare Lorraine;Gorgeous Bedfordshire;back Frozen;b Harpe;b Tasty
3;Checking c;a;Dominique;Account;Cotton blue Tuna
4;Home Seine;deposit Electronics;initiatives Basse-Normandie open-source;Corse Executif Cotton;Assistant Avon pink
5;withdrawal;Shoes;Granite;back Irlande best-of-breed;monitoring Auvergne
6;directional content;Shoes;payment Loan;Producteur Bretagne;system
7;Licensed Account generate;transmitter Îles;Avon metrics;Ergonomic c;Buckinghamshire
8;harness Zadkine redundant;expedite primary;Garden Stagiaire;b Colombie Cheese;platforms
9;24/365;Keyboard Auto leading-edge;connect generate withdrawal;Specialiste;eyeballs copy
10;Organized Analyste plum;Buckinghamshire Pound;Buckinghamshire Bacon Yen;green a programming;transparent Account Pakistan
